,GaussianNB@Other,QDA@Amer-Indian-Eskimo,QDA@Other,DecisionTree@Amer-Indian-Eskimo,DecisionTree@Other,DecisionTree@Asian-Pac-Islander,SGD_Logistic@Other,DecisionTree@White,SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@Black,SGD_Logistic@Asian-Pac-Islander,RandomForest@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,RandomForest@White,QDA@Asian-Pac-Islander,QDA@Black,QDA@White,RandomForest@Black,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SVC_Linear@White,LogisticRegression@White,SGD_Logistic@White,SGD_Logistic@Black,LogisticRegression@Black,SVC_Linear@Black,SVC_RBF@Asian-Pac-Islander,SVC_RBF@Black,SVC_RBF@White,SVC_RBF@Other,RandomForest@Other,LogisticRegression@Other,SVC_Linear@Other,GaussianNB@Asian-Pac-Islander,GaussianNB@Amer-Indian-Eskimo,GaussianNB@Black,GaussianNB@White
LogisticRegression@White,0.346,0.405,0.185,0.448,0.56,0.591,0.609,0.65,0.616,0.656,0.741,0.799,0.692,0.796,0.726,0.882,0.905,0.893,0.9,0.923,0.906,0.957,0.931,0.986,1.0,0.993,0.944,0.97,0.961,0.896,0.916,0.926,0.686,0.789,0.834,0.763,0.267,0.443,0.378,0.483
SGD_Logistic@White,0.347,0.395,0.177,0.438,0.539,0.584,0.584,0.644,0.607,0.656,0.753,0.789,0.696,0.807,0.725,0.876,0.898,0.904,0.914,0.937,0.901,0.957,0.924,0.976,0.993,1.0,0.948,0.969,0.957,0.893,0.919,0.923,0.675,0.78,0.827,0.746,0.267,0.443,0.367,0.475
SGD_Logistic@Black,0.282,0.44,0.197,0.472,0.554,0.552,0.547,0.61,0.652,0.656,0.708,0.802,0.762,0.86,0.794,0.835,0.85,0.885,0.901,0.893,0.874,0.917,0.906,0.939,0.944,0.948,1.0,0.968,0.963,0.899,0.936,0.912,0.693,0.784,0.819,0.757,0.221,0.397,0.32,0.401
LogisticRegression@Black,0.312,0.388,0.174,0.433,0.556,0.58,0.615,0.634,0.626,0.668,0.687,0.774,0.686,0.789,0.716,0.874,0.878,0.873,0.911,0.892,0.913,0.943,0.918,0.952,0.97,0.969,0.968,1.0,0.983,0.894,0.935,0.903,0.689,0.812,0.858,0.786,0.243,0.425,0.349,0.453
SVC_Linear@Black,0.303,0.421,0.186,0.465,0.566,0.572,0.601,0.626,0.636,0.67,0.696,0.792,0.727,0.819,0.747,0.85,0.868,0.865,0.901,0.89,0.899,0.93,0.915,0.959,0.961,0.957,0.963,0.983,1.0,0.879,0.937,0.909,0.674,0.804,0.825,0.771,0.234,0.404,0.335,0.436
SVC_RBF@Asian-Pac-Islander,0.306,0.382,0.166,0.435,0.515,0.596,0.565,0.61,0.598,0.621,0.648,0.777,0.673,0.76,0.697,0.885,0.84,0.89,0.839,0.861,0.853,0.883,0.878,0.897,0.896,0.893,0.899,0.894,0.879,1.0,0.921,0.905,0.693,0.74,0.792,0.712,0.215,0.368,0.303,0.392
SVC_RBF@Black,0.287,0.377,0.139,0.454,0.558,0.565,0.584,0.61,0.641,0.665,0.657,0.796,0.718,0.796,0.715,0.837,0.854,0.867,0.905,0.891,0.899,0.882,0.871,0.924,0.916,0.919,0.936,0.935,0.937,0.921,1.0,0.937,0.676,0.763,0.794,0.715,0.207,0.382,0.282,0.377
SVC_RBF@White,0.284,0.403,0.156,0.465,0.555,0.565,0.551,0.636,0.619,0.645,0.68,0.787,0.696,0.775,0.703,0.826,0.887,0.874,0.862,0.905,0.864,0.869,0.86,0.936,0.926,0.923,0.912,0.903,0.909,0.905,0.937,1.0,0.663,0.727,0.76,0.677,0.205,0.377,0.296,0.374
SVC_RBF@Other,0.222,0.441,0.364,0.432,0.575,0.448,0.624,0.456,0.563,0.505,0.576,0.665,0.596,0.648,0.623,0.662,0.644,0.678,0.654,0.649,0.673,0.691,0.699,0.671,0.686,0.675,0.693,0.689,0.674,0.693,0.676,0.663,1.0,0.809,0.833,0.845,0.158,0.294,0.203,0.284
RandomForest@Other,0.267,0.389,0.2,0.434,0.683,0.552,0.631,0.54,0.565,0.604,0.655,0.709,0.63,0.695,0.659,0.793,0.735,0.736,0.743,0.722,0.796,0.806,0.801,0.77,0.789,0.78,0.784,0.812,0.804,0.74,0.763,0.727,0.809,1.0,0.862,0.849,0.204,0.354,0.268,0.378
LogisticRegression@Other,0.315,0.38,0.243,0.391,0.554,0.525,0.739,0.54,0.55,0.597,0.653,0.706,0.581,0.671,0.616,0.786,0.756,0.766,0.775,0.753,0.808,0.841,0.826,0.805,0.834,0.827,0.819,0.858,0.825,0.792,0.794,0.76,0.833,0.862,1.0,0.934,0.223,0.379,0.271,0.383
SVC_Linear@Other,0.312,0.529,0.391,0.448,0.579,0.49,0.71,0.502,0.537,0.554,0.637,0.677,0.62,0.674,0.669,0.732,0.689,0.685,0.677,0.652,0.731,0.793,0.795,0.735,0.763,0.746,0.757,0.786,0.771,0.712,0.715,0.677,0.845,0.849,0.934,1.0,0.202,0.325,0.234,0.339
GaussianNB@Asian-Pac-Islander,0.327,0.058,0.03,0.121,0.115,0.166,0.203,0.191,0.144,0.171,0.254,0.229,0.13,0.207,0.182,0.235,0.253,0.243,0.245,0.251,0.247,0.301,0.28,0.256,0.267,0.267,0.221,0.243,0.234,0.215,0.207,0.205,0.158,0.204,0.223,0.202,1.0,0.394,0.347,0.472
GaussianNB@Amer-Indian-Eskimo,0.324,0.101,0.052,0.202,0.197,0.245,0.321,0.311,0.286,0.282,0.296,0.406,0.244,0.362,0.352,0.377,0.423,0.401,0.417,0.422,0.426,0.443,0.431,0.409,0.443,0.443,0.397,0.425,0.404,0.368,0.382,0.377,0.294,0.354,0.379,0.325,0.394,1.0,0.534,0.613
GaussianNB@Black,0.22,0.071,0.029,0.14,0.147,0.214,0.22,0.26,0.179,0.224,0.258,0.307,0.178,0.265,0.261,0.352,0.352,0.317,0.32,0.334,0.346,0.381,0.368,0.364,0.378,0.367,0.32,0.349,0.335,0.303,0.282,0.296,0.203,0.268,0.271,0.234,0.347,0.534,1.0,0.642
GaussianNB@White,0.252,0.104,0.048,0.172,0.21,0.281,0.316,0.323,0.247,0.288,0.362,0.379,0.24,0.347,0.331,0.449,0.448,0.426,0.437,0.439,0.455,0.497,0.464,0.461,0.483,0.475,0.401,0.453,0.436,0.392,0.377,0.374,0.284,0.378,0.383,0.339,0.472,0.613,0.642,1.0
