,LogisticRegression@White,SGD_Logistic@White,SVC_Linear@White,LogisticRegression@Black,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Black,SGD_Logistic@Black,SVC_Linear@Asian-Pac-Islander,SVC_RBF@Black,SVC_RBF@White,RandomForest@Black,QDA@White,SVC_RBF@Asian-Pac-Islander,QDA@Black,QDA@Asian-Pac-Islander,RandomForest@White,RandomForest@Asian-Pac-Islander,LogisticRegression@Other,RandomForest@Amer-Indian-Eskimo,LogisticRegression@Amer-Indian-Eskimo,RandomForest@Other,SVC_Linear@Other,SVC_Linear@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Other,DecisionTree@Black,SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@White,SGD_Logistic@Other,DecisionTree@Asian-Pac-Islander,DecisionTree@Other,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,GaussianNB@White,GaussianNB@Black,GaussianNB@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,GaussianNB@Other,QDA@Other
SVC_RBF@Other,0.686,0.675,0.671,0.689,0.691,0.674,0.693,0.699,0.676,0.663,0.673,0.649,0.693,0.654,0.678,0.644,0.662,0.833,0.665,0.648,0.809,0.845,0.623,0.596,0.576,1.0,0.505,0.563,0.456,0.624,0.448,0.575,0.432,0.441,0.284,0.203,0.294,0.158,0.222,0.364
DecisionTree@Black,0.656,0.656,0.652,0.668,0.651,0.67,0.656,0.639,0.665,0.645,0.718,0.619,0.621,0.627,0.604,0.638,0.625,0.597,0.563,0.551,0.604,0.554,0.502,0.505,0.512,0.505,1.0,0.41,0.482,0.433,0.4,0.426,0.333,0.286,0.288,0.224,0.282,0.171,0.208,0.131
SGD_Logistic@Amer-Indian-Eskimo,0.616,0.607,0.643,0.626,0.591,0.636,0.652,0.618,0.641,0.619,0.573,0.578,0.598,0.622,0.532,0.568,0.537,0.55,0.727,0.718,0.565,0.537,0.64,0.6,0.366,0.563,0.41,1.0,0.391,0.415,0.384,0.41,0.488,0.331,0.247,0.179,0.286,0.144,0.113,0.172
DecisionTree@White,0.65,0.644,0.64,0.634,0.637,0.626,0.61,0.621,0.61,0.636,0.635,0.608,0.61,0.585,0.595,0.722,0.615,0.54,0.545,0.527,0.54,0.502,0.482,0.469,0.483,0.456,0.482,0.391,1.0,0.397,0.42,0.391,0.32,0.272,0.323,0.26,0.311,0.191,0.23,0.12
SGD_Logistic@Other,0.609,0.584,0.59,0.615,0.612,0.601,0.547,0.609,0.584,0.551,0.592,0.538,0.565,0.549,0.526,0.571,0.572,0.739,0.519,0.388,0.631,0.71,0.346,0.371,0.453,0.624,0.433,0.415,0.397,1.0,0.407,0.429,0.279,0.232,0.316,0.22,0.321,0.203,0.347,0.136
DecisionTree@Asian-Pac-Islander,0.591,0.584,0.593,0.58,0.608,0.572,0.552,0.599,0.565,0.565,0.584,0.554,0.596,0.544,0.568,0.553,0.661,0.525,0.521,0.477,0.552,0.49,0.437,0.422,0.494,0.448,0.4,0.384,0.42,0.407,1.0,0.375,0.316,0.255,0.281,0.214,0.245,0.166,0.149,0.117
DecisionTree@Other,0.56,0.539,0.558,0.556,0.556,0.566,0.554,0.569,0.558,0.555,0.535,0.497,0.515,0.492,0.502,0.529,0.55,0.554,0.527,0.522,0.683,0.579,0.521,0.537,0.499,0.575,0.426,0.41,0.391,0.429,0.375,1.0,0.358,0.366,0.21,0.147,0.197,0.115,0.132,0.182
DecisionTree@Amer-Indian-Eskimo,0.448,0.438,0.466,0.433,0.455,0.465,0.472,0.487,0.454,0.465,0.406,0.417,0.435,0.406,0.404,0.423,0.416,0.391,0.638,0.58,0.434,0.448,0.551,0.608,0.386,0.432,0.333,0.488,0.32,0.279,0.316,0.358,1.0,0.41,0.172,0.14,0.202,0.121,0.163,0.182
QDA@Amer-Indian-Eskimo,0.405,0.395,0.409,0.388,0.427,0.421,0.44,0.464,0.377,0.403,0.337,0.338,0.382,0.319,0.376,0.357,0.35,0.38,0.433,0.543,0.389,0.529,0.632,0.58,0.478,0.441,0.286,0.331,0.272,0.232,0.255,0.366,0.41,1.0,0.104,0.071,0.101,0.058,0.062,0.425
GaussianNB@White,0.483,0.475,0.461,0.453,0.497,0.436,0.401,0.464,0.377,0.374,0.455,0.439,0.392,0.437,0.426,0.448,0.449,0.383,0.379,0.347,0.378,0.339,0.331,0.24,0.362,0.284,0.288,0.247,0.323,0.316,0.281,0.21,0.172,0.104,1.0,0.642,0.613,0.472,0.252,0.048
GaussianNB@Black,0.378,0.367,0.364,0.349,0.381,0.335,0.32,0.368,0.282,0.296,0.346,0.334,0.303,0.32,0.317,0.352,0.352,0.271,0.307,0.265,0.268,0.234,0.261,0.178,0.258,0.203,0.224,0.179,0.26,0.22,0.214,0.147,0.14,0.071,0.642,1.0,0.534,0.347,0.22,0.029
GaussianNB@Amer-Indian-Eskimo,0.443,0.443,0.409,0.425,0.443,0.404,0.397,0.431,0.382,0.377,0.426,0.422,0.368,0.417,0.401,0.423,0.377,0.379,0.406,0.362,0.354,0.325,0.352,0.244,0.296,0.294,0.282,0.286,0.311,0.321,0.245,0.197,0.202,0.101,0.613,0.534,1.0,0.394,0.324,0.052
GaussianNB@Asian-Pac-Islander,0.267,0.267,0.256,0.243,0.301,0.234,0.221,0.28,0.207,0.205,0.247,0.251,0.215,0.245,0.243,0.253,0.235,0.223,0.229,0.207,0.204,0.202,0.182,0.13,0.254,0.158,0.171,0.144,0.191,0.203,0.166,0.115,0.121,0.058,0.472,0.347,0.394,1.0,0.327,0.03
GaussianNB@Other,0.346,0.347,0.326,0.312,0.353,0.303,0.282,0.328,0.287,0.284,0.309,0.334,0.306,0.292,0.328,0.328,0.296,0.315,0.255,0.186,0.267,0.312,0.168,0.133,0.221,0.222,0.208,0.113,0.23,0.347,0.149,0.132,0.163,0.062,0.252,0.22,0.324,0.327,1.0,0.046
QDA@Other,0.185,0.177,0.185,0.174,0.197,0.186,0.197,0.218,0.139,0.156,0.154,0.139,0.166,0.131,0.157,0.155,0.166,0.243,0.209,0.237,0.2,0.391,0.322,0.12,0.21,0.364,0.131,0.172,0.12,0.136,0.117,0.182,0.182,0.425,0.048,0.029,0.052,0.03,0.046,1.0
