,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Other,0.668,0.608,0.553,0.577,0.375,0.707,0.403,0.369,0.837,0.822,0.647,0.789,0.225,0.788,0.527,0.757,0.855,0.821,0.814,0.79,0.278,0.803,0.593,0.769,1.0,0.934,0.749,0.833,0.306,0.859,0.55,0.247,0.83,0.802,0.823,0.755,0.385,0.75,0.536,0.745
SVC_Linear@Other,0.674,0.667,0.542,0.614,0.322,0.677,0.46,0.521,0.79,0.792,0.632,0.708,0.203,0.733,0.49,0.678,0.786,0.769,0.755,0.711,0.242,0.727,0.55,0.673,0.934,1.0,0.715,0.845,0.304,0.849,0.577,0.399,0.76,0.733,0.744,0.672,0.341,0.684,0.498,0.645
SGD_Logistic@Other,0.394,0.35,0.427,0.372,0.317,0.53,0.295,0.236,0.618,0.613,0.455,0.573,0.206,0.586,0.415,0.531,0.625,0.609,0.554,0.588,0.231,0.598,0.444,0.556,0.749,0.715,1.0,0.63,0.338,0.639,0.427,0.137,0.618,0.598,0.593,0.557,0.322,0.577,0.4,0.543
SVC_RBF@Other,0.649,0.623,0.567,0.591,0.294,0.667,0.445,0.437,0.689,0.697,0.576,0.691,0.161,0.664,0.453,0.676,0.686,0.669,0.69,0.673,0.215,0.67,0.507,0.651,0.833,0.845,0.63,1.0,0.22,0.809,0.569,0.369,0.683,0.669,0.672,0.659,0.291,0.641,0.453,0.645
GaussianNB@Other,0.177,0.157,0.105,0.121,0.334,0.245,0.16,0.053,0.348,0.32,0.217,0.296,0.331,0.29,0.142,0.32,0.306,0.296,0.275,0.278,0.24,0.298,0.203,0.283,0.306,0.304,0.338,0.22,1.0,0.256,0.127,0.053,0.34,0.321,0.341,0.276,0.25,0.32,0.218,0.327
RandomForest@Other,0.69,0.652,0.568,0.624,0.348,0.706,0.447,0.382,0.803,0.798,0.652,0.735,0.208,0.795,0.556,0.729,0.808,0.799,0.778,0.758,0.273,0.794,0.603,0.737,0.859,0.849,0.639,0.809,0.256,1.0,0.684,0.21,0.784,0.768,0.776,0.72,0.38,0.729,0.535,0.715
DecisionTree@Other,0.524,0.523,0.413,0.536,0.188,0.531,0.376,0.369,0.554,0.567,0.5,0.51,0.113,0.553,0.379,0.494,0.551,0.561,0.549,0.553,0.144,0.529,0.42,0.483,0.55,0.577,0.427,0.569,0.127,0.684,1.0,0.185,0.555,0.556,0.534,0.547,0.202,0.526,0.388,0.489
QDA@Other,0.242,0.333,0.177,0.121,0.051,0.218,0.187,0.433,0.201,0.222,0.214,0.17,0.031,0.172,0.12,0.16,0.177,0.189,0.2,0.14,0.028,0.157,0.133,0.132,0.247,0.399,0.137,0.369,0.053,0.21,0.185,1.0,0.188,0.189,0.179,0.159,0.047,0.159,0.122,0.141
LogisticRegression@White,0.793,0.719,0.614,0.69,0.446,0.798,0.461,0.403,0.957,0.932,0.739,0.892,0.268,0.882,0.594,0.889,0.97,0.961,0.943,0.915,0.39,0.904,0.658,0.894,0.83,0.76,0.618,0.683,0.34,0.784,0.555,0.188,1.0,0.987,0.993,0.925,0.487,0.903,0.645,0.919
SVC_Linear@White,0.812,0.738,0.642,0.713,0.415,0.829,0.482,0.409,0.943,0.933,0.73,0.897,0.256,0.868,0.596,0.886,0.955,0.962,0.943,0.926,0.377,0.9,0.659,0.898,0.802,0.733,0.598,0.669,0.321,0.768,0.556,0.189,0.987,1.0,0.979,0.938,0.464,0.894,0.638,0.921
SGD_Logistic@White,0.804,0.718,0.605,0.694,0.444,0.789,0.451,0.393,0.958,0.925,0.752,0.89,0.269,0.878,0.589,0.9,0.969,0.957,0.947,0.917,0.378,0.899,0.659,0.909,0.823,0.744,0.593,0.672,0.341,0.776,0.534,0.179,0.993,0.979,1.0,0.922,0.48,0.895,0.639,0.934
SVC_RBF@White,0.774,0.698,0.618,0.692,0.373,0.788,0.478,0.4,0.867,0.859,0.679,0.902,0.206,0.827,0.57,0.87,0.9,0.906,0.91,0.935,0.306,0.86,0.648,0.856,0.755,0.672,0.557,0.659,0.276,0.72,0.547,0.159,0.925,0.938,0.922,1.0,0.374,0.885,0.632,0.902
GaussianNB@White,0.345,0.328,0.248,0.239,0.633,0.381,0.166,0.099,0.502,0.467,0.363,0.394,0.488,0.457,0.286,0.427,0.458,0.44,0.403,0.378,0.668,0.459,0.286,0.443,0.385,0.341,0.322,0.291,0.25,0.38,0.202,0.047,0.487,0.464,0.48,0.374,1.0,0.449,0.323,0.443
RandomForest@White,0.718,0.645,0.566,0.626,0.419,0.758,0.434,0.353,0.87,0.846,0.665,0.834,0.255,0.838,0.557,0.825,0.875,0.865,0.847,0.85,0.364,0.862,0.641,0.818,0.75,0.684,0.577,0.641,0.32,0.729,0.526,0.159,0.903,0.894,0.895,0.885,0.449,1.0,0.719,0.851
DecisionTree@White,0.522,0.473,0.388,0.46,0.309,0.538,0.329,0.269,0.635,0.62,0.483,0.603,0.194,0.613,0.423,0.587,0.629,0.621,0.605,0.603,0.267,0.626,0.476,0.577,0.536,0.498,0.4,0.453,0.218,0.535,0.388,0.122,0.645,0.638,0.639,0.632,0.323,0.719,1.0,0.601
QDA@White,0.767,0.683,0.57,0.673,0.418,0.766,0.427,0.335,0.879,0.849,0.719,0.856,0.255,0.821,0.558,0.943,0.887,0.886,0.888,0.888,0.347,0.854,0.622,0.947,0.745,0.645,0.543,0.645,0.327,0.715,0.489,0.141,0.919,0.921,0.934,0.902,0.443,0.851,0.601,1.0
