,GaussianNB@Asian-Pac-Islander,GaussianNB@Black,GaussianNB@White,GaussianNB@Amer-Indian-Eskimo,GaussianNB@Other,QDA@Other,SGD_Logistic@Other,DecisionTree@Other,DecisionTree@Asian-Pac-Islander,DecisionTree@White,SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@Black,SGD_Logistic@Asian-Pac-Islander,RandomForest@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,RandomForest@White,RandomForest@Asian-Pac-Islander,RandomForest@Black,QDA@Asian-Pac-Islander,QDA@Black,QDA@White,SVC_RBF@Asian-Pac-Islander,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SVC_Linear@White,LogisticRegression@White,SGD_Logistic@White,SGD_Logistic@Black,LogisticRegression@Black,SVC_Linear@Black,SVC_RBF@Black,SVC_RBF@White,SVC_RBF@Other,RandomForest@Other,LogisticRegression@Other,SVC_Linear@Other,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo
LogisticRegression@Asian-Pac-Islander,-0.022,-0.019,0.01,-0.002,0.039,0.066,0.362,0.336,0.415,0.429,0.37,0.476,0.681,0.569,0.523,0.622,0.494,0.74,0.801,0.783,0.805,0.802,0.8,0.807,1.0,0.961,0.883,0.911,0.917,0.863,0.895,0.865,0.809,0.787,0.496,0.649,0.71,0.63,0.173,0.206
SVC_Linear@Asian-Pac-Islander,-0.043,-0.018,-0.007,0.02,0.003,0.076,0.363,0.347,0.408,0.409,0.416,0.457,0.659,0.623,0.568,0.651,0.531,0.701,0.746,0.748,0.769,0.783,0.756,0.798,0.961,1.0,0.867,0.865,0.858,0.84,0.851,0.839,0.791,0.769,0.481,0.632,0.673,0.602,0.214,0.226
SVC_Linear@White,-0.082,-0.0,0.008,-0.02,0.003,0.056,0.337,0.348,0.391,0.441,0.469,0.483,0.534,0.679,0.572,0.667,0.556,0.793,0.754,0.811,0.793,0.841,0.872,0.833,0.883,0.867,1.0,0.973,0.956,0.897,0.91,0.923,0.882,0.908,0.47,0.586,0.641,0.519,0.216,0.188
LogisticRegression@White,-0.076,0.025,0.034,0.019,0.031,0.057,0.364,0.35,0.384,0.451,0.418,0.483,0.553,0.612,0.528,0.63,0.517,0.81,0.781,0.82,0.799,0.832,0.87,0.825,0.911,0.865,0.973,1.0,0.986,0.903,0.942,0.925,0.864,0.887,0.501,0.62,0.698,0.583,0.177,0.181
SGD_Logistic@White,-0.066,0.012,0.027,0.027,0.031,0.053,0.322,0.316,0.374,0.439,0.404,0.482,0.589,0.6,0.551,0.659,0.531,0.795,0.774,0.809,0.817,0.853,0.891,0.819,0.917,0.858,0.956,0.986,1.0,0.912,0.939,0.917,0.865,0.877,0.489,0.608,0.685,0.562,0.169,0.187
SGD_Logistic@Black,-0.086,0.034,0.015,0.036,-0.034,0.059,0.275,0.321,0.341,0.396,0.464,0.488,0.501,0.634,0.639,0.744,0.648,0.726,0.722,0.782,0.795,0.854,0.825,0.834,0.863,0.84,0.897,0.903,0.912,1.0,0.95,0.938,0.894,0.845,0.503,0.618,0.673,0.573,0.205,0.214
LogisticRegression@Black,-0.096,-0.022,0.002,0.006,-0.02,0.051,0.388,0.347,0.371,0.426,0.441,0.502,0.464,0.578,0.528,0.626,0.511,0.763,0.775,0.833,0.762,0.85,0.809,0.826,0.895,0.851,0.91,0.942,0.939,0.95,1.0,0.966,0.894,0.84,0.521,0.672,0.751,0.661,0.162,0.176
SVC_Linear@Black,-0.107,-0.052,-0.014,-0.015,-0.015,0.056,0.365,0.348,0.355,0.418,0.453,0.504,0.476,0.608,0.592,0.674,0.559,0.747,0.721,0.805,0.752,0.841,0.813,0.796,0.865,0.839,0.923,0.925,0.917,0.938,0.966,1.0,0.897,0.849,0.473,0.644,0.68,0.604,0.211,0.213
SVC_RBF@Black,-0.063,-0.051,-0.03,0.032,-0.0,0.047,0.356,0.356,0.371,0.408,0.466,0.506,0.438,0.651,0.575,0.649,0.54,0.746,0.744,0.835,0.769,0.852,0.824,0.878,0.809,0.791,0.882,0.864,0.865,0.894,0.894,0.897,1.0,0.896,0.507,0.595,0.65,0.543,0.21,0.166
SVC_RBF@White,-0.067,0.011,-0.012,0.026,0.005,0.053,0.306,0.345,0.38,0.458,0.429,0.482,0.475,0.636,0.529,0.607,0.508,0.812,0.731,0.786,0.785,0.789,0.857,0.85,0.787,0.769,0.908,0.887,0.877,0.845,0.84,0.849,0.896,1.0,0.482,0.53,0.586,0.451,0.225,0.192
SVC_RBF@Other,-0.085,-0.103,-0.064,0.002,-0.008,0.044,0.49,0.396,0.227,0.219,0.365,0.299,0.311,0.425,0.349,0.386,0.294,0.449,0.467,0.497,0.529,0.523,0.5,0.505,0.496,0.481,0.47,0.501,0.489,0.503,0.521,0.473,0.507,0.482,1.0,0.707,0.75,0.726,0.155,0.084
RandomForest@Other,-0.083,-0.087,-0.024,0.001,-0.01,0.026,0.452,0.552,0.342,0.299,0.345,0.41,0.42,0.449,0.38,0.445,0.384,0.523,0.629,0.627,0.552,0.593,0.545,0.539,0.649,0.632,0.586,0.62,0.608,0.618,0.672,0.644,0.595,0.53,0.707,1.0,0.762,0.767,0.142,0.125
LogisticRegression@Other,-0.07,-0.095,-0.035,0.032,0.065,0.018,0.619,0.342,0.299,0.294,0.316,0.398,0.407,0.449,0.316,0.394,0.285,0.561,0.627,0.658,0.589,0.632,0.581,0.636,0.71,0.673,0.641,0.698,0.685,0.673,0.751,0.68,0.65,0.586,0.75,0.762,1.0,0.924,0.084,0.068
SVC_Linear@Other,-0.107,-0.16,-0.071,-0.03,0.094,0.073,0.634,0.361,0.254,0.251,0.279,0.345,0.333,0.36,0.325,0.354,0.276,0.463,0.545,0.553,0.481,0.516,0.443,0.51,0.63,0.602,0.519,0.583,0.562,0.573,0.661,0.604,0.543,0.451,0.726,0.767,0.924,1.0,0.117,0.122
DecisionTree@Amer-Indian-Eskimo,-0.04,-0.092,-0.093,0.016,-0.05,0.054,0.018,0.106,0.119,0.094,0.309,0.104,0.085,0.49,0.435,0.374,0.318,0.166,0.149,0.134,0.142,0.183,0.19,0.176,0.173,0.214,0.216,0.177,0.169,0.205,0.162,0.211,0.21,0.225,0.155,0.142,0.084,0.117,1.0,0.207
QDA@Amer-Indian-Eskimo,-0.101,-0.074,-0.075,-0.124,-0.102,0.206,-0.034,0.097,0.09,0.111,0.052,0.095,0.27,0.168,0.365,0.328,0.36,0.144,0.112,0.117,0.212,0.172,0.187,0.128,0.206,0.226,0.188,0.181,0.187,0.214,0.176,0.213,0.166,0.192,0.084,0.125,0.068,0.122,0.207,1.0
