,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Other,0.671,0.616,0.55,0.581,0.379,0.706,0.391,0.38,0.841,0.826,0.653,0.792,0.223,0.786,0.525,0.766,0.858,0.825,0.819,0.794,0.271,0.808,0.597,0.775,1.0,0.934,0.739,0.833,0.315,0.862,0.554,0.243,0.834,0.805,0.827,0.76,0.383,0.756,0.54,0.753
SVC_Linear@Other,0.674,0.669,0.537,0.62,0.325,0.677,0.448,0.529,0.793,0.795,0.637,0.712,0.202,0.732,0.49,0.685,0.786,0.771,0.757,0.715,0.234,0.731,0.554,0.677,0.934,1.0,0.71,0.845,0.312,0.849,0.579,0.391,0.763,0.735,0.746,0.677,0.339,0.689,0.502,0.652
SGD_Logistic@Other,0.388,0.346,0.415,0.371,0.321,0.519,0.279,0.232,0.612,0.609,0.453,0.565,0.203,0.572,0.407,0.526,0.615,0.601,0.547,0.584,0.22,0.592,0.433,0.549,0.739,0.71,1.0,0.624,0.347,0.631,0.429,0.136,0.609,0.59,0.584,0.551,0.316,0.571,0.397,0.538
SVC_RBF@Other,0.648,0.623,0.563,0.596,0.294,0.665,0.432,0.441,0.691,0.699,0.576,0.693,0.158,0.662,0.448,0.678,0.689,0.674,0.693,0.676,0.203,0.673,0.505,0.654,0.833,0.845,0.624,1.0,0.222,0.809,0.575,0.364,0.686,0.671,0.675,0.663,0.284,0.644,0.456,0.649
GaussianNB@Other,0.186,0.168,0.113,0.133,0.324,0.255,0.163,0.062,0.353,0.328,0.221,0.306,0.327,0.296,0.149,0.328,0.312,0.303,0.282,0.287,0.22,0.309,0.208,0.292,0.315,0.312,0.347,0.222,1.0,0.267,0.132,0.046,0.346,0.326,0.347,0.284,0.252,0.328,0.23,0.334
RandomForest@Other,0.695,0.659,0.565,0.63,0.354,0.709,0.434,0.389,0.806,0.801,0.655,0.74,0.204,0.793,0.552,0.736,0.812,0.804,0.784,0.763,0.268,0.796,0.604,0.743,0.862,0.849,0.631,0.809,0.267,1.0,0.683,0.2,0.789,0.77,0.78,0.727,0.378,0.735,0.54,0.722
DecisionTree@Other,0.522,0.521,0.41,0.537,0.197,0.527,0.358,0.366,0.556,0.569,0.499,0.515,0.115,0.55,0.375,0.502,0.556,0.566,0.554,0.558,0.147,0.535,0.426,0.492,0.554,0.579,0.429,0.575,0.132,0.683,1.0,0.182,0.56,0.558,0.539,0.555,0.21,0.529,0.391,0.497
QDA@Other,0.237,0.322,0.172,0.12,0.052,0.209,0.182,0.425,0.197,0.218,0.21,0.166,0.03,0.166,0.117,0.157,0.174,0.186,0.197,0.139,0.029,0.154,0.131,0.131,0.243,0.391,0.136,0.364,0.046,0.2,0.182,1.0,0.185,0.185,0.177,0.156,0.048,0.155,0.12,0.139
LogisticRegression@White,0.796,0.726,0.616,0.692,0.443,0.799,0.448,0.405,0.957,0.931,0.741,0.896,0.267,0.882,0.591,0.893,0.97,0.961,0.944,0.916,0.378,0.906,0.656,0.9,0.834,0.763,0.609,0.686,0.346,0.789,0.56,0.185,1.0,0.986,0.993,0.926,0.483,0.905,0.65,0.923
SVC_Linear@White,0.812,0.742,0.643,0.714,0.409,0.827,0.466,0.409,0.941,0.931,0.73,0.897,0.256,0.866,0.593,0.886,0.952,0.959,0.939,0.924,0.364,0.899,0.652,0.899,0.805,0.735,0.59,0.671,0.326,0.77,0.558,0.185,0.986,1.0,0.976,0.936,0.461,0.892,0.64,0.92
SGD_Logistic@White,0.807,0.725,0.607,0.696,0.443,0.789,0.438,0.395,0.957,0.924,0.753,0.893,0.267,0.876,0.584,0.904,0.969,0.957,0.948,0.919,0.367,0.901,0.656,0.914,0.827,0.746,0.584,0.675,0.347,0.78,0.539,0.177,0.993,0.976,1.0,0.923,0.475,0.898,0.644,0.937
SVC_RBF@White,0.775,0.703,0.619,0.696,0.377,0.787,0.465,0.403,0.869,0.86,0.68,0.905,0.205,0.826,0.565,0.874,0.903,0.909,0.912,0.937,0.296,0.864,0.645,0.862,0.76,0.677,0.551,0.663,0.284,0.727,0.555,0.156,0.926,0.936,0.923,1.0,0.374,0.887,0.636,0.905
GaussianNB@White,0.347,0.331,0.247,0.24,0.613,0.379,0.172,0.104,0.497,0.464,0.362,0.392,0.472,0.449,0.281,0.426,0.453,0.436,0.401,0.377,0.642,0.455,0.288,0.437,0.383,0.339,0.316,0.284,0.252,0.378,0.21,0.048,0.483,0.461,0.475,0.374,1.0,0.448,0.323,0.439
RandomForest@White,0.721,0.653,0.568,0.633,0.423,0.76,0.423,0.357,0.871,0.846,0.667,0.84,0.253,0.839,0.553,0.831,0.878,0.868,0.85,0.854,0.352,0.866,0.638,0.824,0.756,0.689,0.571,0.644,0.328,0.735,0.529,0.155,0.905,0.892,0.898,0.887,0.448,1.0,0.722,0.857
DecisionTree@White,0.527,0.482,0.391,0.469,0.311,0.545,0.32,0.272,0.637,0.621,0.483,0.61,0.191,0.615,0.42,0.595,0.634,0.626,0.61,0.61,0.26,0.635,0.482,0.585,0.54,0.502,0.397,0.456,0.23,0.54,0.391,0.12,0.65,0.64,0.644,0.636,0.323,0.722,1.0,0.608
QDA@White,0.771,0.693,0.578,0.674,0.422,0.769,0.417,0.338,0.88,0.849,0.716,0.861,0.251,0.822,0.554,0.943,0.892,0.89,0.893,0.891,0.334,0.858,0.619,0.949,0.753,0.652,0.538,0.649,0.334,0.722,0.497,0.139,0.923,0.92,0.937,0.905,0.439,0.857,0.608,1.0
