item_a,item_b,correlacao
LogisticRegression@Amer-Indian-Eskimo,LogisticRegression@White,0.796
RandomForest@Black,RandomForest@Other,0.796
RandomForest@Amer-Indian-Eskimo,SVC_RBF@Black,0.796
LogisticRegression@Amer-Indian-Eskimo,SVC_RBF@Black,0.796
SVC_Linear@Asian-Pac-Islander,SVC_Linear@Other,0.795
SVC_RBF@Black,LogisticRegression@Other,0.794
SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Black,0.794
LogisticRegression@Asian-Pac-Islander,SVC_Linear@Other,0.793
LogisticRegression@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,0.793
RandomForest@Asian-Pac-Islander,RandomForest@Other,0.793
RandomForest@Amer-Indian-Eskimo,SVC_Linear@Black,0.792
SVC_RBF@Asian-Pac-Islander,LogisticRegression@Other,0.792
RandomForest@Amer-Indian-Eskimo,SGD_Logistic@White,0.789
RandomForest@Other,LogisticRegression@White,0.789
LogisticRegression@Amer-Indian-Eskimo,LogisticRegression@Black,0.789
RandomForest@Amer-Indian-Eskimo,SVC_RBF@White,0.787
RandomForest@Asian-Pac-Islander,LogisticRegression@Other,0.786
LogisticRegression@Black,SVC_Linear@Other,0.786
RandomForest@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,0.785
SVC_RBF@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,0.785
SGD_Logistic@Black,RandomForest@Other,0.784
RandomForest@Other,SGD_Logistic@White,0.78
LogisticRegression@Amer-Indian-Eskimo,QDA@Black,0.78
RandomForest@Amer-Indian-Eskimo,SVC_RBF@Asian-Pac-Islander,0.777
QDA@Black,LogisticRegression@Other,0.775
LogisticRegression@Amer-Indian-Eskimo,SVC_RBF@White,0.775
RandomForest@Amer-Indian-Eskimo,LogisticRegression@Black,0.774
SVC_Linear@Black,SVC_Linear@Other,0.771
LogisticRegression@Amer-Indian-Eskimo,QDA@White,0.771
RandomForest@Other,SVC_Linear@White,0.77
RandomForest@Amer-Indian-Eskimo,RandomForest@Black,0.769
RandomForest@Amer-Indian-Eskimo,QDA@Black,0.769
RandomForest@Amer-Indian-Eskimo,QDA@White,0.769
QDA@Asian-Pac-Islander,LogisticRegression@Other,0.766
SVC_RBF@Black,RandomForest@Other,0.763
SVC_Linear@Other,LogisticRegression@White,0.763
SVC_RBF@Amer-Indian-Eskimo,SGD_Logistic@Black,0.762
RandomForest@Amer-Indian-Eskimo,RandomForest@White,0.76
LogisticRegression@Amer-Indian-Eskimo,SVC_RBF@Asian-Pac-Islander,0.76
LogisticRegression@Other,SVC_RBF@White,0.76
LogisticRegression@Amer-Indian-Eskimo,QDA@Asian-Pac-Islander,0.757
SGD_Logistic@Black,SVC_Linear@Other,0.757
LogisticRegression@Other,RandomForest@White,0.756
LogisticRegression@Other,QDA@White,0.753
SGD_Logistic@Asian-Pac-Islander,SGD_Logistic@White,0.753
SVC_Linear@Amer-Indian-Eskimo,SVC_Linear@Asian-Pac-Islander,0.751
SVC_Linear@Amer-Indian-Eskimo,SVC_Linear@Black,0.747
SVC_Linear@Other,SGD_Logistic@White,0.746
RandomForest@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,0.744
QDA@Black,RandomForest@Other,0.743
SVC_Linear@Amer-Indian-Eskimo,SVC_Linear@White,0.742
SGD_Logistic@Asian-Pac-Islander,LogisticRegression@White,0.741
SVC_RBF@Asian-Pac-Islander,RandomForest@Other,0.74
LogisticRegression@Other,SGD_Logistic@Other,0.739
SGD_Logistic@Asian-Pac-Islander,QDA@Asian-Pac-Islander,0.736
QDA@Asian-Pac-Islander,RandomForest@Other,0.736
RandomForest@Other,RandomForest@White,0.735
SVC_Linear@Other,SVC_Linear@White,0.735
RandomForest@Asian-Pac-Islander,SVC_Linear@Other,0.732
RandomForest@Black,SVC_Linear@Other,0.731
SGD_Logistic@Asian-Pac-Islander,SVC_Linear@White,0.73
SVC_RBF@Amer-Indian-Eskimo,SVC_Linear@Asian-Pac-Islander,0.729
RandomForest@Amer-Indian-Eskimo,QDA@Asian-Pac-Islander,0.728
SVC_RBF@Amer-Indian-Eskimo,SVC_Linear@Black,0.727
SGD_Logistic@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,0.727
RandomForest@Other,SVC_RBF@White,0.727
SVC_Linear@Amer-Indian-Eskimo,LogisticRegression@White,0.726
LogisticRegression@Amer-Indian-Eskimo,RandomForest@Black,0.725
SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@White,0.725
SVC_Linear@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,0.722
RandomForest@White,DecisionTree@White,0.722
RandomForest@Other,QDA@White,0.722
LogisticRegression@Amer-Indian-Eskimo,RandomForest@White,0.721
RandomForest@Black,DecisionTree@Black,0.718
LogisticRegression@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,0.718
SVC_RBF@Amer-Indian-Eskimo,SVC_RBF@Black,0.718
SGD_Logistic@Asian-Pac-Islander,QDA@White,0.716
SVC_Linear@Amer-Indian-Eskimo,LogisticRegression@Black,0.716
SVC_RBF@Black,SVC_Linear@Other,0.715
SVC_Linear@Amer-Indian-Eskimo,SVC_RBF@Black,0.715
SVC_RBF@Amer-Indian-Eskimo,SVC_Linear@White,0.714
SVC_RBF@Asian-Pac-Islander,SVC_Linear@Other,0.712
SVC_Linear@Other,SGD_Logistic@Other,0.71
RandomForest@Amer-Indian-Eskimo,RandomForest@Other,0.709
SGD_Logistic@Asian-Pac-Islander,SGD_Logistic@Black,0.708
RandomForest@Amer-Indian-Eskimo,LogisticRegression@Other,0.706
SVC_Linear@Amer-Indian-Eskimo,SVC_RBF@White,0.703
SVC_Linear@Amer-Indian-Eskimo,QDA@Asian-Pac-Islander,0.701
SVC_Linear@Asian-Pac-Islander,SVC_RBF@Other,0.699
LogisticRegression@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,0.698
SVC_Linear@Amer-Indian-Eskimo,SVC_RBF@Asian-Pac-Islander,0.697
SVC_RBF@Amer-Indian-Eskimo,SGD_Logistic@White,0.696
SGD_Logistic@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,0.696
SVC_RBF@Amer-Indian-Eskimo,SVC_RBF@White,0.696
SGD_Logistic@Asian-Pac-Islander,SVC_Linear@Black,0.696
LogisticRegression@Amer-Indian-Eskimo,RandomForest@Other,0.695
SVC_Linear@Amer-Indian-Eskimo,QDA@White,0.693
SVC_RBF@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,0.693
SVC_RBF@Asian-Pac-Islander,SVC_RBF@Other,0.693
SGD_Logistic@Black,SVC_RBF@Other,0.693
SVC_RBF@Amer-Indian-Eskimo,LogisticRegression@White,0.692
LogisticRegression@Asian-Pac-Islander,SVC_RBF@Other,0.691
LogisticRegression@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,0.691
SVC_Linear@Other,RandomForest@White,0.689
LogisticRegression@Black,SVC_RBF@Other,0.689
SVC_Linear@Amer-Indian-Eskimo,QDA@Black,0.687
SGD_Logistic@Asian-Pac-Islander,LogisticRegression@Black,0.687
SVC_RBF@Other,LogisticRegression@White,0.686
SVC_RBF@Amer-Indian-Eskimo,LogisticRegression@Black,0.686
QDA@Asian-Pac-Islander,SVC_Linear@Other,0.685
SVC_RBF@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,0.683
RandomForest@Other,DecisionTree@Other,0.683
SGD_Logistic@Asian-Pac-Islander,QDA@Black,0.68
SGD_Logistic@Asian-Pac-Islander,SVC_RBF@White,0.68
QDA@Asian-Pac-Islander,SVC_RBF@Other,0.678
SVC_RBF@Amer-Indian-Eskimo,QDA@Black,0.678
QDA@Black,SVC_Linear@Other,0.677
RandomForest@Amer-Indian-Eskimo,SVC_Linear@Other,0.677
SVC_Linear@Other,SVC_RBF@White,0.677
SVC_RBF@Black,SVC_RBF@Other,0.676
SVC_RBF@Amer-Indian-Eskimo,QDA@Asian-Pac-Islander,0.675
SVC_RBF@Other,SGD_Logistic@White,0.675
LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Other,0.674
SVC_RBF@Amer-Indian-Eskimo,QDA@White,0.674
SVC_Linear@Black,SVC_RBF@Other,0.674
RandomForest@Black,SVC_RBF@Other,0.673
SVC_RBF@Amer-Indian-Eskimo,SVC_RBF@Asian-Pac-Islander,0.673
LogisticRegression@Amer-Indian-Eskimo,LogisticRegression@Other,0.671
SVC_RBF@Other,SVC_Linear@White,0.671
SVC_Linear@Black,DecisionTree@Black,0.67
SVC_Linear@Amer-Indian-Eskimo,SVC_Linear@Other,0.669
LogisticRegression@Black,DecisionTree@Black,0.668
SGD_Logistic@Asian-Pac-Islander,RandomForest@Black,0.668
SGD_Logistic@Asian-Pac-Islander,RandomForest@White,0.667
SVC_RBF@Black,DecisionTree@Black,0.665
RandomForest@Amer-Indian-Eskimo,SVC_RBF@Other,0.665
SVC_RBF@Other,SVC_RBF@White,0.663
RandomForest@Asian-Pac-Islander,SVC_RBF@Other,0.662
RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,0.661
SVC_Linear@Amer-Indian-Eskimo,RandomForest@Other,0.659
SVC_Linear@Amer-Indian-Eskimo,RandomForest@Black,0.658
SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Black,0.657
DecisionTree@Black,SGD_Logistic@White,0.656
DecisionTree@Black,LogisticRegression@White,0.656
SGD_Logistic@Black,DecisionTree@Black,0.656
SGD_Logistic@Asian-Pac-Islander,RandomForest@Other,0.655
QDA@Black,SVC_RBF@Other,0.654
SGD_Logistic@Asian-Pac-Islander,LogisticRegression@Other,0.653
SVC_Linear@Amer-Indian-Eskimo,RandomForest@White,0.653
SVC_Linear@Other,QDA@White,0.652
SGD_Logistic@Amer-Indian-Eskimo,SGD_Logistic@Black,0.652
DecisionTree@Black,SVC_Linear@White,0.652
LogisticRegression@Asian-Pac-Islander,DecisionTree@Black,0.651
SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,0.65
LogisticRegression@White,DecisionTree@White,0.65
SVC_RBF@Other,QDA@White,0.649
LogisticRegression@Amer-Indian-Eskimo,SVC_RBF@Other,0.648
SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,0.648
DecisionTree@Black,SVC_RBF@White,0.645
SVC_RBF@Other,RandomForest@White,0.644
SGD_Logistic@White,DecisionTree@White,0.644
SGD_Logistic@Amer-Indian-Eskimo,SVC_Linear@White,0.643
GaussianNB@Black,GaussianNB@White,0.642
SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Black,0.641
SVC_Linear@White,DecisionTree@White,0.64
SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,0.64
SVC_Linear@Asian-Pac-Islander,DecisionTree@Black,0.639
SVC_Linear@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,0.639
RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,0.638
DecisionTree@Black,RandomForest@White,0.638
LogisticRegression@Asian-Pac-Islander,DecisionTree@White,0.637
SGD_Logistic@Asian-Pac-Islander,SVC_Linear@Other,0.637
SVC_RBF@White,DecisionTree@White,0.636
SGD_Logistic@Amer-Indian-Eskimo,SVC_Linear@Black,0.636
RandomForest@Black,DecisionTree@White,0.635
LogisticRegression@Black,DecisionTree@White,0.634
SVC_RBF@Amer-Indian-Eskimo,RandomForest@White,0.633
SVC_Linear@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,0.632
SGD_Logistic@Other,RandomForest@Other,0.631
SVC_RBF@Amer-Indian-Eskimo,RandomForest@Other,0.63
SVC_RBF@Amer-Indian-Eskimo,RandomForest@Black,0.628
DecisionTree@Black,QDA@Black,0.627
SGD_Logistic@Amer-Indian-Eskimo,LogisticRegression@Black,0.626
RandomForest@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,0.626
SVC_Linear@Black,DecisionTree@White,0.626
RandomForest@Asian-Pac-Islander,DecisionTree@Black,0.625
SGD_Logistic@Other,SVC_RBF@Other,0.624
SVC_Linear@Amer-Indian-Eskimo,SVC_RBF@Other,0.623
SGD_Logistic@Amer-Indian-Eskimo,QDA@Black,0.622
SVC_RBF@Asian-Pac-Islander,DecisionTree@Black,0.621
SVC_Linear@Asian-Pac-Islander,DecisionTree@White,0.621
SVC_RBF@Amer-Indian-Eskimo,SVC_Linear@Other,0.62
SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@White,0.619
DecisionTree@Black,QDA@White,0.619
SGD_Logistic@Amer-Indian-Eskimo,SVC_Linear@Asian-Pac-Islander,0.618
SGD_Logistic@Amer-Indian-Eskimo,LogisticRegression@White,0.616
SVC_Linear@Amer-Indian-Eskimo,LogisticRegression@Other,0.616
LogisticRegression@Black,SGD_Logistic@Other,0.615
RandomForest@Asian-Pac-Islander,DecisionTree@White,0.615
GaussianNB@Amer-Indian-Eskimo,GaussianNB@White,0.613
LogisticRegression@Asian-Pac-Islander,SGD_Logistic@Other,0.612
SVC_RBF@Asian-Pac-Islander,DecisionTree@White,0.61
SGD_Logistic@Black,DecisionTree@White,0.61
SVC_RBF@Black,DecisionTree@White,0.61
SVC_RBF@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,0.61
SGD_Logistic@Other,LogisticRegression@White,0.609
SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Other,0.609
LogisticRegression@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,0.608
SVC_RBF@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,0.608
DecisionTree@White,QDA@White,0.608
SGD_Logistic@Amer-Indian-Eskimo,SGD_Logistic@White,0.607
QDA@Asian-Pac-Islander,DecisionTree@Black,0.604
DecisionTree@Black,RandomForest@Other,0.604
SVC_Linear@Black,SGD_Logistic@Other,0.601
SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,0.6
SVC_Linear@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,0.599
SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Asian-Pac-Islander,0.598
DecisionTree@Black,LogisticRegression@Other,0.597
SVC_RBF@Amer-Indian-Eskimo,SVC_RBF@Other,0.596
SVC_RBF@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,0.596
QDA@Asian-Pac-Islander,DecisionTree@White,0.595
DecisionTree@Asian-Pac-Islander,SVC_Linear@White,0.593
RandomForest@Black,SGD_Logistic@Other,0.592
DecisionTree@Asian-Pac-Islander,LogisticRegression@White,0.591
SGD_Logistic@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,0.591
SGD_Logistic@Other,SVC_Linear@White,0.59
QDA@Black,DecisionTree@White,0.585
DecisionTree@Asian-Pac-Islander,SGD_Logistic@White,0.584
DecisionTree@Asian-Pac-Islander,RandomForest@Black,0.584
SGD_Logistic@Other,SGD_Logistic@White,0.584
SVC_RBF@Black,SGD_Logistic@Other,0.584
SVC_RBF@Amer-Indian-Eskimo,LogisticRegression@Other,0.581
SVC_RBF@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,0.58
DecisionTree@Asian-Pac-Islander,LogisticRegression@Black,0.58
LogisticRegression@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,0.58
SVC_Linear@Other,DecisionTree@Other,0.579
SGD_Logistic@Amer-Indian-Eskimo,QDA@White,0.578
SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Other,0.576
SVC_RBF@Other,DecisionTree@Other,0.575
SGD_Logistic@Amer-Indian-Eskimo,RandomForest@Black,0.573
RandomForest@Asian-Pac-Islander,SGD_Logistic@Other,0.572
DecisionTree@Asian-Pac-Islander,SVC_Linear@Black,0.572
SGD_Logistic@Other,RandomForest@White,0.571
SVC_Linear@Asian-Pac-Islander,DecisionTree@Other,0.569
SGD_Logistic@Amer-Indian-Eskimo,RandomForest@White,0.568
DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,0.568
SVC_Linear@Black,DecisionTree@Other,0.566
SVC_RBF@Asian-Pac-Islander,SGD_Logistic@Other,0.565
SGD_Logistic@Amer-Indian-Eskimo,RandomForest@Other,0.565
DecisionTree@Asian-Pac-Islander,SVC_RBF@White,0.565
DecisionTree@Asian-Pac-Islander,SVC_RBF@Black,0.565
RandomForest@Amer-Indian-Eskimo,DecisionTree@Black,0.563
SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Other,0.563
DecisionTree@Other,LogisticRegression@White,0.56
SVC_RBF@Black,DecisionTree@Other,0.558
DecisionTree@Other,SVC_Linear@White,0.558
LogisticRegression@Asian-Pac-Islander,DecisionTree@Other,0.556
LogisticRegression@Black,DecisionTree@Other,0.556
DecisionTree@Other,SVC_RBF@White,0.555
DecisionTree@Black,SVC_Linear@Other,0.554
LogisticRegression@Other,DecisionTree@Other,0.554
SGD_Logistic@Black,DecisionTree@Other,0.554
DecisionTree@Asian-Pac-Islander,QDA@White,0.554
DecisionTree@Asian-Pac-Islander,RandomForest@White,0.553
DecisionTree@Asian-Pac-Islander,SGD_Logistic@Black,0.552
DecisionTree@Asian-Pac-Islander,RandomForest@Other,0.552
SVC_Linear@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,0.551
LogisticRegression@Amer-Indian-Eskimo,DecisionTree@Black,0.551
SGD_Logistic@Other,SVC_RBF@White,0.551
RandomForest@Asian-Pac-Islander,DecisionTree@Other,0.55
