,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Other,0.642,0.639,0.443,0.572,0.321,0.681,0.175,0.419,0.849,0.85,0.637,0.874,0.178,0.76,0.431,0.853,0.868,0.846,0.868,0.819,0.202,0.79,0.641,0.809,1.0,0.936,0.697,0.822,0.283,0.892,0.682,,0.858,0.84,0.847,0.817,0.319,0.795,0.602,0.821
SVC_Linear@Other,0.636,0.65,0.404,0.659,0.27,0.655,0.237,0.565,0.798,0.812,0.623,0.804,0.162,0.723,0.414,0.741,0.801,0.795,0.8,0.756,0.187,0.734,0.573,0.699,0.936,1.0,0.698,0.85,0.318,0.87,0.646,,0.787,0.776,0.768,0.75,0.287,0.737,0.542,0.714
SGD_Logistic@Other,0.394,0.378,0.225,0.464,0.316,0.5,0.174,0.227,0.594,0.632,0.493,0.618,0.165,0.496,0.307,0.576,0.576,0.589,0.583,0.609,0.184,0.567,0.468,0.543,0.697,0.698,1.0,0.593,0.386,0.649,0.486,,0.57,0.575,0.555,0.595,0.261,0.595,0.477,0.559
SVC_RBF@Other,0.523,0.55,0.361,0.578,0.203,0.577,0.212,0.5,0.647,0.67,0.507,0.724,0.095,0.619,0.333,0.668,0.662,0.659,0.669,0.632,0.084,0.604,0.481,0.618,0.822,0.85,0.593,1.0,0.157,0.803,0.631,,0.671,0.674,0.631,0.666,0.169,0.636,0.453,0.638
GaussianNB@Other,0.151,0.194,0.017,0.182,0.193,0.253,0.167,0.114,0.286,0.28,0.151,0.302,0.274,0.235,0.073,0.287,0.245,0.246,0.244,0.262,0.064,0.298,0.229,0.227,0.283,0.318,0.386,0.157,1.0,0.247,0.181,,0.27,0.251,0.271,0.249,0.197,0.296,0.281,0.273
RandomForest@Other,0.662,0.664,0.436,0.626,0.31,0.69,0.228,0.382,0.812,0.821,0.659,0.8,0.142,0.769,0.433,0.796,0.828,0.824,0.831,0.779,0.227,0.758,0.635,0.775,0.892,0.87,0.649,0.803,0.247,1.0,0.751,,0.827,0.819,0.808,0.792,0.317,0.771,0.582,0.777
DecisionTree@Other,0.536,0.519,0.273,0.537,0.246,0.521,0.168,0.267,0.651,0.642,0.564,0.649,0.14,0.595,0.353,0.688,0.696,0.696,0.707,0.674,0.186,0.627,0.501,0.681,0.682,0.646,0.486,0.631,0.181,0.751,1.0,,0.698,0.687,0.676,0.706,0.291,0.623,0.478,0.663
QDA@Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression@White,0.748,0.736,0.538,0.637,0.346,0.738,0.227,0.341,0.953,0.929,0.725,0.896,0.213,0.831,0.505,0.896,0.976,0.959,0.949,0.898,0.28,0.892,0.685,0.927,0.858,0.787,0.57,0.671,0.27,0.827,0.698,,1.0,0.983,0.992,0.92,0.41,0.897,0.686,0.93
SVC_Linear@White,0.767,0.745,0.562,0.674,0.315,0.757,0.241,0.346,0.936,0.929,0.709,0.891,0.204,0.803,0.501,0.876,0.962,0.963,0.949,0.908,0.265,0.878,0.668,0.924,0.84,0.776,0.575,0.674,0.251,0.819,0.687,,0.983,1.0,0.971,0.923,0.384,0.87,0.667,0.912
SGD_Logistic@White,0.765,0.739,0.546,0.638,0.346,0.727,0.211,0.346,0.951,0.921,0.742,0.894,0.208,0.824,0.497,0.891,0.972,0.953,0.951,0.911,0.265,0.892,0.682,0.939,0.847,0.768,0.555,0.631,0.271,0.808,0.676,,0.992,0.971,1.0,0.915,0.399,0.89,0.683,0.936
SVC_RBF@White,0.686,0.687,0.477,0.655,0.338,0.69,0.232,0.343,0.877,0.862,0.684,0.907,0.154,0.762,0.443,0.908,0.916,0.914,0.927,0.931,0.207,0.853,0.681,0.912,0.817,0.75,0.595,0.666,0.249,0.792,0.706,,0.92,0.923,0.915,1.0,0.326,0.871,0.62,0.929
GaussianNB@White,0.327,0.349,0.208,0.194,0.522,0.346,0.117,0.078,0.394,0.356,0.293,0.31,0.398,0.332,0.148,0.354,0.369,0.354,0.34,0.312,0.575,0.4,0.276,0.347,0.319,0.287,0.261,0.169,0.197,0.317,0.291,,0.41,0.384,0.399,0.326,1.0,0.413,0.297,0.342
RandomForest@White,0.662,0.655,0.463,0.606,0.384,0.702,0.249,0.289,0.865,0.835,0.646,0.851,0.195,0.808,0.447,0.847,0.876,0.853,0.842,0.846,0.251,0.866,0.645,0.845,0.795,0.737,0.595,0.636,0.296,0.771,0.623,,0.897,0.87,0.89,0.871,0.413,1.0,0.707,0.869
DecisionTree@White,0.535,0.521,0.396,0.476,0.27,0.577,0.186,0.199,0.645,0.615,0.449,0.627,0.139,0.579,0.326,0.64,0.655,0.634,0.637,0.631,0.208,0.678,0.524,0.65,0.602,0.542,0.477,0.453,0.281,0.582,0.478,,0.686,0.667,0.683,0.62,0.297,0.707,1.0,0.662
QDA@White,0.695,0.695,0.513,0.589,0.361,0.71,0.214,0.275,0.88,0.844,0.671,0.887,0.168,0.781,0.472,0.945,0.902,0.882,0.905,0.889,0.197,0.855,0.66,0.958,0.821,0.714,0.559,0.638,0.273,0.777,0.663,,0.93,0.912,0.936,0.929,0.342,0.869,0.662,1.0
